2018-06-06 01:21:38.206377 mon.tasds1 mon.0 10.10.6.1:6789/0 411 : cluster [INF] osd.8 10.10.6.1:6810/32862 boot
2018-06-06 01:21:39.206021 mon.tasds1 mon.0 10.10.6.1:6789/0 413 : cluster [WRN] Health check failed: Degraded data redundancy: 354/2721 objects degraded (13.010%), 1 pg degraded (PG_DEGRADED)
2018-06-06 01:21:41.223254 mon.tasds1 mon.0 10.10.6.1:6789/0 415 : cluster [WRN] Health check failed: Reduced data availability: 11 pgs inactive, 18 pgs peering (PG_AVAILABILITY)
2018-06-06 01:21:44.585158 mon.tasds1 mon.0 10.10.6.1:6789/0 416 : cluster [WRN] Health check update: Degraded data redundancy: 3492/2721 objects degraded (128.335%), 34 pgs degraded (PG_DEGRADED)
2018-06-06 01:21:49.585628 mon.tasds1 mon.0 10.10.6.1:6789/0 417 : cluster [WRN] Health check update: Reduced data availability: 11 pgs inactive (PG_AVAILABILITY)
2018-06-06 01:21:49.585721 mon.tasds1 mon.0 10.10.6.1:6789/0 418 : cluster [WRN] Health check update: Degraded data redundancy: 4791/2721 objects degraded (176.075%), 37 pgs degraded (PG_DEGRADED)
2018-06-06 01:21:50.832219 mon.tasds1 mon.0 10.10.6.1:6789/0 419 : cluster [INF] Health check cleared: PG_AVAILABILITY (was: Reduced data availability: 11 pgs inactive)
2018-06-06 01:21:54.586061 mon.tasds1 mon.0 10.10.6.1:6789/0 420 : cluster [WRN] Health check update: Degraded data redundancy: 4666/2721 objects degraded (171.481%), 45 pgs degraded (PG_DEGRADED)
2018-06-06 01:21:59.586529 mon.tasds1 mon.0 10.10.6.1:6789/0 421 : cluster [WRN] Health check update: Degraded data redundancy: 4539/2721 objects degraded (166.814%), 45 pgs degraded (PG_DEGRADED)
2018-06-06 01:22:04.586962 mon.tasds1 mon.0 10.10.6.1:6789/0 422 : cluster [WRN] Health check update: Degraded data redundancy: 4467/2721 objects degraded (164.168%), 42 pgs degraded (PG_DEGRADED)
2018-06-06 01:22:09.587429 mon.tasds1 mon.0 10.10.6.1:6789/0 423 : cluster [WRN] Health check update: Degraded data redundancy: 4393/2721 objects degraded (161.448%), 42 pgs degraded (PG_DEGRADED)
2018-06-06 01:22:14.587895 mon.tasds1 mon.0 10.10.6.1:6789/0 424 : cluster [WRN] Health check update: Degraded data redundancy: 4314/2721 objects degraded (158.545%), 42 pgs degraded (PG_DEGRADED)
2018-06-06 01:22:19.588376 mon.tasds1 mon.0 10.10.6.1:6789/0 425 : cluster [WRN] Health check update: Degraded data redundancy: 4253/2721 objects degraded (156.303%), 40 pgs degraded (PG_DEGRADED)
2018-06-06 01:22:24.833408 mon.tasds1 mon.0 10.10.6.1:6789/0 426 : cluster [WRN] Health check update: Degraded data redundancy: 4213/2721 objects degraded (154.833%), 40 pgs degraded (PG_DEGRADED)
2018-06-06 01:22:30.837183 mon.tasds1 mon.0 10.10.6.1:6789/0 427 : cluster [WRN] Health check update: Degraded data redundancy: 4167/2721 objects degraded (153.142%), 40 pgs degraded (PG_DEGRADED)
2018-06-06 01:22:36.841981 mon.tasds1 mon.0 10.10.6.1:6789/0 428 : cluster [WRN] Health check update: Degraded data redundancy: 4097/2721 objects degraded (150.570%), 39 pgs degraded (PG_DEGRADED)
2018-06-06 01:22:42.846884 mon.tasds1 mon.0 10.10.6.1:6789/0 429 : cluster [WRN] Health check update: Degraded data redundancy: 3973/2721 objects degraded (146.012%), 39 pgs degraded (PG_DEGRADED)
2018-06-06 01:22:48.851661 mon.tasds1 mon.0 10.10.6.1:6789/0 430 : cluster [WRN] Health check update: Degraded data redundancy: 3844/2721 objects degraded (141.272%), 36 pgs degraded (PG_DEGRADED)
2018-06-06 01:22:54.591151 mon.tasds1 mon.0 10.10.6.1:6789/0 431 : cluster [WRN] Health check update: Degraded data redundancy: 3802/2721 objects degraded (139.728%), 36 pgs degraded (PG_DEGRADED)
